,Date,Processed in 24hr(2pm-2pm)
38,03-08-2020,19343.0
39,04-08-2020,20087.0
40,05-08-2020,25096.0
41,06-08-2020,25205.0
42,07-08-2020,27608.0
43,08-08-2020,27714.0
44,09-08-2020,22745.0
45,10-08-2020,20583.0
46,11-08-2020,21625.0
47,12-08-2020,28644.0
48,13-08-2020,31270.0
49,14-08-2020,31738.0
50,15-08-2020,32108.0
51,16-08-2020,30123.0
52,17-08-2020,26150.0
53,18-08-2020,29265.0
54,19-08-2020,36291.0
55,20-08-2020,37010.0
56,21-08-2020,35825.0
57,22-08-2020,37027.0
58,23-08-2020,36353.0
59,24-08-2020,26186.0
60,25-08-2020,34344.0
61,26-08-2020,40352.0
62,27-08-2020,37873.0
63,28-08-2020,41860.0
64,29-08-2020,34988.0
65,30-08-2020,27908.0
66,31-08-2020,18027.0
67,01-09-2020,14137.0
68,02-09-2020,23850.0
69,03-09-2020,30342.0
70,04-09-2020,36310.0
71,05-09-2020,40162.0
72,06-09-2020,41392.0
73,07-09-2020,20215.0
74,08-09-2020,37264.0
75,09-09-2020,45949.0
76,10-09-2020,40014.0
77,11-09-2020,35056.0
78,12-09-2020,43954.0
79,13-09-2020,34786.0
80,14-09-2020,22279.0
81,15-09-2020,41054.0
82,16-09-2020,46162.0
83,17-09-2020,45730.0
84,18-09-2020,47723.0
85,19-09-2020,47452.0
86,20-09-2020,41630.0
87,21-09-2020,25848.0
88,22-09-2020,38574.0
89,23-09-2020,51200.0
90,24-09-2020,54989.0
91,25-09-2020,56057.0
92,26-09-2020,58799.0
93,27-09-2020,54493.0
94,28-09-2020,36027.0
95,29-09-2020,52755.0
96,30-09-2020,63682.0
97,01-10-2020,59157.0
98,02-10-2020,63175.0
99,03-10-2020,54563.0
100,04-10-2020,58727.0
101,05-10-2020,38696.0
102,06-10-2020,60494.0
103,07-10-2020,73816.0
104,08-10-2020,63146.0
105,09-10-2020,68321.0
106,10-10-2020,66228.0
107,11-10-2020,61629.0
108,12-10-2020,38259.0
109,13-10-2020,48253.0
110,14-10-2020,50056.0
111,15-10-2020,50154.0
112,16-10-2020,51836.0
113,17-10-2020,52067.0
114,18-10-2020,58404.0
115,19-10-2020,36599.0
116,20-10-2020,53901.0
117,21-10-2020,62030.0
118,22-10-2020,56093.0
119,23-10-2020,64789.0
120,24-10-2020,67593.0
121,25-10-2020,48212.0
122,26-10-2020,35141.0
123,27-10-2020,46193.0
124,28-10-2020,66980.0
125,29-10-2020,54339.0
126,30-10-2020,53981.0
127,31-10-2020,59999.0
128,01-11-2020,50010.0
129,02-11-2020,33345.0
130,03-11-2020,61138.0
131,04-11-2020,71270.0
132,05-11-2020,61388.0
133,06-11-2020,63384.0
134,07-11-2020,64051.0
135,08-11-2020,48798.0
136,09-11-2020,32489.0
137,10-11-2020,54751.0
138,11-11-2020,64192.0
139,12-11-2020,57202.0
140,13-11-2020,58221.0
141,14-11-2020,61553.0
142,15-11-2020,46126.0
143,16-11-2020,25141.0
144,17-11-2020,56157.0
145,18-11-2020,67369.0
146,19-11-2020,67017.0
147,20-11-2020,60365.0
148,21-11-2020,60210.0
149,22-11-2020,48015.0
150,23-11-2020,35659.0
151,24-11-2020,59983.0
152,25-11-2020,66042.0
153,26-11-2020,55996.0
154,27-11-2020,39108.0
155,28-11-2020,63983.0
156,29-11-2020,49775.0
157,30-11-2020,34689.0
158,01-12-2020,58809.0
159,02-12-2020,56993.0
160,03-12-2020,60476.0
161,04-12-2020,57456.0
162,05-12-2020,60503.0
163,06-12-2020,51893.0
164,07-12-2020,33758.0
165,08-12-2020,60521.0
166,09-12-2020,52655.0
167,10-12-2020,52769.0
168,11-12-2020,53508.0
169,12-12-2020,59690.0
170,13-12-2020,46375.0
171,14-12-2020,31893.0
172,15-12-2020,56453.0
173,16-12-2020,61882.0
174,17-12-2020,60851.0
175,18-12-2020,54472.0
176,19-12-2020,59995.0
177,20-12-2020,53858.0
178,21-12-2020,34847.0
179,22-12-2020,64829.0
180,23-12-2020,61437.0
181,24-12-2020,56073.0
182,25-12-2020,48853.0
183,26-12-2020,35586.0
184,27-12-2020,46116.0
185,28-12-2020,32869.0
186,29-12-2020,61778.0
187,30-12-2020,63887.0
188,31-12-2020,58283.0
189,01-01-2021,52790.0
190,02-01-2021,54098.0
191,03-01-2021,47291.0
192,04-01-2021,33508.0
193,05-01-2021,61269.0
194,06-01-2021,63891.0
195,07-01-2021,60613.0
196,08-01-2021,59569.0
197,09-01-2021,61239.0
198,10-01-2021,45695.0
199,11-01-2021,35281.0
200,12-01-2021,64614.0
201,13-01-2021,69081.0
202,14-01-2021,67712.0
203,15-01-2021,62934.0
204,16-01-2021,64908.0
205,17-01-2021,52310.0
206,18-01-2021,33093.0
207,19-01-2021,66259.0
208,20-01-2021,61532.0
209,21-01-2021,61279.0
210,22-01-2021,58057.0
211,23-01-2021,61066.0
212,24-01-2021,48378.0
213,25-01-2021,30903.0
214,26-01-2021,60315.0
215,27-01-2021,51130.0
216,28-01-2021,58472.0
217,29-01-2021,58815.0
218,30-01-2021,59759.0
219,31-01-2021,48118.0
220,01-02-2021,33579.0
221,02-02-2021,52940.0
222,03-02-2021,59635.0
223,04-02-2021,84007.0
224,05-02-2021,91931.0
225,06-02-2021,82804.0
226,07-02-2021,65517.0
227,08-02-2021,47927.0
228,09-02-2021,69844.0
229,10-02-2021,80106.0
230,11-02-2021,71656.0
231,12-02-2021,74408.0
232,13-02-2021,85969.0
233,14-02-2021,61843.0
234,15-02-2021,39463.0
235,16-02-2021,74352.0
236,17-02-2021,69953.0
237,18-02-2021,67506.0
238,19-02-2021,67574.0
239,20-02-2021,65968.0
240,21-02-2021,57241.0
241,22-02-2021,38103.0
242,23-02-2021,69604.0
243,24-02-2021,70568.0
244,25-02-2021,63582.0
245,26-02-2021,67812.0
246,27-02-2021,73710.0
247,28-02-2021,62769.0
248,01-03-2021,45995.0
249,02-03-2021,68094.0
250,03-03-2021,59646.0
251,04-03-2021,63041.0
252,05-03-2021,66103.0
253,06-03-2021,61764.0
254,07-03-2021,51948.0
255,08-03-2021,39046.0
256,09-03-2021,65906.0
257,10-03-2021,62486.0
258,11-03-2021,69838.0
259,12-03-2021,52134.0
260,13-03-2021,58344.0
261,14-03-2021,50565.0
262,15-03-2021,38410.0
263,16-03-2021,60974.0
264,17-03-2021,60193.0
265,18-03-2021,54314.0
266,19-03-2021,53184.0
267,20-03-2021,58777.0
268,21-03-2021,44675.0
269,22-03-2021,34821.0
270,23-03-2021,57425.0
271,24-03-2021,56740.0
272,25-03-2021,51027.0
273,26-03-2021,52252.0
274,27-03-2021,52288.0
275,28-03-2021,47229.0
276,29-03-2021,37377.0
277,30-03-2021,58557.0
278,31-03-2021,49427.0
279,01-04-2021,54347.0
280,02-04-2021,51783.0
281,03-04-2021,44779.0
282,04-04-2021,45171.0
283,05-04-2021,40191.0
284,06-04-2021,59051.0
285,07-04-2021,60554.0
286,08-04-2021,63901.0
287,09-04-2021,63240.0
288,10-04-2021,61957.0
289,11-04-2021,65003.0
290,12-04-2021,45417.0
291,13-04-2021,73441.0
292,14-04-2021,65258.0
293,15-04-2021,60900.0
294,16-04-2021,67775.0
295,17-04-2021,81211.0
296,18-04-2021,108898.0
297,19-04-2021,87275.0
